´úÂë,¼Û¸ñ
000001,14.05
000002,40.04
000004,21.64
000005,4.23
000006,9.85
000007,16.66
000008,8.31
000009,6.78
000010,5.4
000011,17.92
000012,9.19
000014,12.85
000016,6.89
000017,6.1
000018,6.25
000019,12.15
000020,14.12
000021,9.87
000022,24.14
000023,20.07
000025,38.07
000026,10.76
000027,6.2
000028,62.23
000029,11.17
000030,8.19
000031,8.0
000032,9.5
000034,21.6
000035,6.72
000036,11.22
000037,6.67
000038,19.37
000039,22.53
000040,12.72
000042,17.07
000043,10.12
000045,9.7
000046,7.92
000048,20.42
000049,36.78
000050,19.84
000055,8.01
000056,13.27
000058,7.42
000059,10.76
000060,11.59
000061,7.96
000062,23.47
000063,35.0
000065,17.97
000066,7.28
000068,5.16
000069,10.79
000070,10.15
000078,5.97
000088,8.47
000089,9.27
000090,11.27
000096,13.42
000099,9.59
000100,3.72
000150,30.04
000151,12.75
000153,8.31
000155,6.16
000156,11.4
000157,4.63
000158,9.1
000159,5.37
000166,5.6
000301,5.82
000333,62.0
000338,8.96
000400,12.5
000401,14.44
000402,12.22
000403,31.29
000404,5.91
000407,7.77
000408,16.72
000409,6.24
000410,10.5
000411,20.07
000413,9.04
000415,5.84
000416,7.2
000417,8.06
000418,72.62
000419,6.16
000420,3.16
000421,6.12
000422,4.25
000423,66.66
000425,4.88
000426,11.33
000428,4.17
000429,8.55
000430,8.75
000488,18.26
000498,6.87
000501,17.38
000502,10.87
000503,42.24
000504,25.73
000505,8.42
000506,7.12
000507,10.39
000509,6.12
000510,8.44
000513,76.1
000514,6.85
000516,4.89
000517,5.07
000518,6.75
000519,8.91
000520,3.92
000521,5.17
000523,8.18
000524,11.44
000525,22.75
000526,29.85
000528,8.69
000529,7.11
000530,5.47
000531,8.01
000532,11.46
000533,9.59
000534,13.05
000536,4.69
000537,16.75
000538,102.23
000539,4.95
000540,7.35
000541,9.59
000543,5.2
000544,14.53
000545,5.02
000546,15.05
000547,10.83
000548,7.09
000550,19.35
000551,8.11
000552,3.65
000553,17.37
000554,8.05
000555,11.89
000557,4.88
000558,5.14
000559,9.59
000560,9.26
000561,8.21
000563,4.52
000564,4.78
000565,7.29
000566,12.89
000567,25.67
000568,68.99
000570,5.56
000571,5.37
000572,4.67
000573,5.17
000576,17.0
000581,26.47
000582,10.11
000584,14.56
000585,4.3
000586,17.6
000587,7.29
000589,4.61
000590,13.74
000591,5.57
000592,5.75
000593,8.81
000595,5.23
000596,73.69
000597,11.03
000598,5.37
000599,6.43
000600,8.23
000601,7.19
000603,13.07
000605,18.11
000606,8.06
000607,6.18
000608,9.42
000609,11.45
000610,11.66
000611,7.09
000612,8.6
000613,8.62
000615,11.63
000616,3.42
000617,15.08
000619,7.9
000620,6.65
000622,4.71
000623,23.36
000625,13.15
000626,12.47
000627,8.49
000628,8.46
000630,2.89
000631,4.52
000632,6.07
000633,9.96
000635,14.72
000636,10.97
000637,5.86
000638,10.92
000639,17.16
000650,5.36
000651,57.4
000652,4.66
000655,6.32
000656,5.25
000657,12.94
000659,3.96
000661,175.95
000662,14.84
000663,21.76
000665,10.46
000666,20.0
000667,3.31
000668,15.16
000669,13.59
000670,5.96
000671,10.16
000672,12.46
000673,13.53
000676,11.37
000677,3.91
000678,7.4
000679,7.03
000680,5.0
000681,20.9
000682,4.8
000683,2.96
000685,10.69
000686,9.31
000687,10.77
000688,10.95
000690,9.07
000691,7.37
000692,4.56
000693,12.5
000695,10.01
000697,21.72
000698,6.07
000700,5.66
000701,10.09
000702,7.65
000703,26.01
000705,8.27
000707,5.69
000708,11.74
000709,4.1
000710,46.71
000711,13.92
000712,16.91
000713,6.79
000715,9.42
000716,5.43
000717,8.21
000718,4.85
000719,9.52
000720,4.42
000721,5.51
000722,9.36
000723,6.64
000725,6.28
000726,11.05
000727,2.45
000728,11.45
000729,7.91
000731,7.69
000732,37.68
000733,13.97
000735,9.37
000736,18.03
000737,4.84
000738,14.67
000739,6.13
000750,5.23
000751,5.31
000752,12.96
000753,3.88
000755,6.27
000756,12.67
000757,7.03
000758,6.58
000759,8.76
000760,5.73
000761,5.72
000762,15.04
000766,13.6
000767,2.99
000768,16.42
000776,19.86
000777,16.39
000778,5.48
000779,14.08
000780,5.17
000782,7.48
000783,8.43
000785,10.54
000786,25.55
000788,8.44
000789,12.93
000790,7.31
000791,7.83
000792,15.32
000793,9.64
000795,6.02
000796,12.9
000797,10.98
000798,9.03
000799,25.97
000800,12.2
000801,6.58
000802,13.85
000803,22.16
000806,9.14
000807,9.82
000809,3.68
000810,7.29
000811,8.08
000812,7.17
000813,8.84
000815,16.49
000816,2.93
000818,12.52
000819,11.3
000820,18.27
000821,11.75
000822,9.49
000823,12.47
000825,5.33
000826,31.12
000828,11.55
000829,9.17
000830,20.99
000831,11.71
000833,7.0
000835,8.21
000836,5.15
000837,6.07
000838,6.14
000839,8.83
000848,10.3
000850,4.65
000851,8.91
000852,9.97
000856,22.87
000858,86.84
000859,4.23
000860,20.42
000861,3.11
000862,4.65
000863,5.25
000868,8.38
000869,38.23
000875,3.67
000876,8.46
000877,11.65
000878,13.63
000880,9.33
000881,13.65
000882,3.08
000883,4.76
000885,17.45
000886,7.58
000887,17.29
000888,10.5
000889,12.81
000890,6.8
000892,8.25
000893,7.63
000895,28.4
000897,3.67
000898,7.11
000899,5.73
000900,6.25
000901,22.93
000902,9.76
000903,3.45
000905,10.88
000906,8.32
000908,5.99
000909,10.35
000910,25.02
000911,9.11
000912,6.79
000913,18.15
000915,26.97
000917,8.85
000918,7.46
000919,9.12
000920,9.72
000921,15.17
000922,7.32
000923,24.69
000925,14.07
000926,12.26
000927,4.45
000928,6.66
000929,11.49
000930,13.34
000931,6.9
000932,9.2
000933,9.91
000935,20.93
000936,6.96
000937,6.02
000938,65.75
000939,4.99
000948,10.31
000949,4.23
000951,17.85
000952,14.06
000953,7.8
000955,6.9
000957,10.53
000958,5.21
000959,6.26
000960,15.58
000961,7.55
000962,8.9
000963,55.26
000965,6.21
000966,3.82
000967,8.81
000968,14.14
000969,8.45
000970,13.12
000971,14.89
000972,3.94
000973,6.08
000975,15.04
000976,8.0
000977,17.36
000978,8.38
000979,1.94
000980,11.26
000981,8.43
000982,4.08
000983,10.25
000985,19.37
000987,10.29
000988,15.52
000989,19.12
000990,17.3
000993,7.81
000995,10.28
000996,15.89
000997,18.91
000998,24.29
000999,26.97
001696,6.28
001896,5.58
001965,12.11
001979,26.05
002001,40.0
002002,7.15
002003,12.07
002004,6.73
002005,4.36
002006,7.04
002007,27.48
002008,53.11
002009,16.36
002010,16.72
002011,8.05
002012,10.96
002013,10.32
002014,11.6
002015,6.5
002016,13.19
002017,8.81
002018,6.79
002019,20.93
002020,10.5
002021,4.19
002022,14.12
002023,9.92
002024,13.36
002025,22.9
002026,7.85
002027,14.88
002028,14.99
002029,8.55
002030,17.65
002031,2.8
